# emoji	category	en keywords	bn keywords	parent
😋	smileys	delicious,eat,face,food,full,hungry,savor,smile,smiling,tasty,um,yum,yummy,face savoring food,savoring	খাবার,খুব খিদে পেয়েছে,ঘ্রাণ নেওয়া,জিভে জল,মুখ,লোভ লাগছে,সুস্বাদু,সুস্বাদু খাদ্যের স্বাদ নেওয়ার মত মুখ,হাসি,মজা
😛	smileys	awesome,cool,face,nice,party,stuck-out,sweet,tongue,face with tongue,with,playful,cheeky	জিভ বার করা মুখ,জিভ ভেঙানো,মুখ,জিভ,দুষ্টু
😜	smileys	crazy,epic,eye,face,funny,joke,loopy,nutty,party,stuck-out,tongue,wacky,weirdo,wink,winking,yolo,winking face with tongue,with,playful,silly	চোখ,চোখ মারা,জিভ কাটা,জিভ বার করা,জিভ বার করে কাটা ও চোখ মারা মুখ,দুষ্টুমি,মজা করা,মুখ,জিভ কাটা ও চোখ মারা মুখ,জিভ,দুষ্টু
🤪	smileys	crazy,eye,eyes,face,goofy,large,small,zany,zany face,wild,silly	চোখ,ছোট,পাগল,পাগলামো,পাগলের মত মুখ,বড়,ব্যক্তি,মানুষ,স্মাইলি,দুষ্টু
😝	smileys	closed,eye,eyes,face,gross,horrible,omg,squinting,stuck-out,taste,tongue,whatever,yolo,squinting face with tongue,with,squint,playful	এ বাবা,চোখ,জিভ বার করা,জিভ বার করে কাটা ও দৃঢ়ভাবে চোখ বন্ধ করা মুখ,ভয়ঙ্কর,মুখ,স্বাদ,জিভ
🤑	smileys	face,money,money-mouth,mouth,paid,money-mouth face,rich,dollar,greedy	অর্থের মত মুখ,টাকা,ঠোঁট,মুখ,ধনী
🤗	smileys	face,hands,hug,hugging,open,smiling,smiling face with open hands,with,warm,embrace,welcome	আলিঙ্গন,আলিঙ্গন রত,আলিঙ্গনরত মুখ,মুখ,হাত,জড়িয়ে
🤭	smileys	face,giggle,giggling,hand,mouth,oops,realization,secret,shock,sudden,surprise,whoops,face with hand over mouth,with,over,shy,hand over mouth	উপ্স,উল্লসিত মুখ,খিলখিল,ব্যক্তি,মানুষ,মুখ ঢেকে হাসি,মুখের ওপর হাত দেওয়া মুখ,স্মাইলি,হাসি,লাজুক
🫢	smileys	amazement,awe,disbelief,embarrass,eyes,face,gasp,hand,mouth,omg,open,over,quiet,scared,shock,surprise,face with open eyes and hand over mouth,with,and	অবিশ্বাস,আতঙ্ক,আশ্চর্য,ওমা গো,খোলা চোখ এবং মুখের উপর হাত চাপা দেওয়া,চুপ,বিব্রত,বিস্ময়,ভীত
🫣	smileys	captivated,embarrass,eye,face,hide,hiding,peek,peeking,peep,scared,shy,stare,face with peeking eye,with	উঁকি মারা,উঁকি মারা চোখের মুখ,টুকি,তাকিয়ে থাকা,বিমুগ্ধ,লজ্জা পাওয়া
🤫	smileys	face,quiet,shh,shush,shushing,shushing face,secret,silence	কিছু বলব না,চুপ,চুপ করা,চুপ করা মুখ,নিঃশব্দ,নীরব,ব্যক্তি,মানুষ,শান্ত,স্মাইলি,হুশ,গোপন
🤔	smileys	chin,consider,face,hmm,ponder,pondering,thinking,wondering,thinking face,wonder	চিন্তা করার মত মুখ,চিন্তিত,ব্যক্তি,মুখ,চিন্তা,ভাবনা
🫡	smileys	face,good,luck,ma’am,ok,respect,salute,saluting,sir,troops,yes,saluting face	আপনাকে স্যালুট,ঠিক আছে,রোদালো,সৈন্যগণ,স্যালুট,স্যালুট করা মুখ,হ্যাঁ,হ্যাঁ স্যার
🤐	smileys	face,keep,mouth,quiet,secret,shut,zip,zipper,zipper-mouth,zipper-mouth face,sealed	ঠোঁট,বলব না,মুখ,মুখে কুলুপ আঁটা,চুপ
🤨	smileys	disapproval,disbelief,distrust,emoji,eyebrow,face,hmm,mild,raised,skeptic,skeptical,skepticism,surprise,what,face with raised eyebrow,with,raised eyebrow,suspicious,doubt	অবাক,অবিশ্বাস,ব্যক্তি,ভাবা যায় না,ভ্রু কুঁচকানো,ভ্রু কোচকানো মুখ,মানুষ,সন্দেহভাজন,স্মাইলি,সন্দেহ
😐	smileys	awkward,blank,deadpan,expressionless,face,fine,jealous,meh,neutral,oh,shade,straight,unamused,unhappy,unimpressed,whatever,neutral face	আনন্দকর নয়,নিরপেক্ষ,ভাবলেশহীন,মুখ,হাসি পেল না,নিরপেক্ষ মুখ
😑	smileys	awkward,dead,expressionless,face,fine,inexpressive,jealous,meh,not,oh,omg,straight,uh,unhappy,unimpressed,whatever,expressionless face,blank,annoyed	অর্থশূন্য,অর্থহীন,উদ্বেগ নেই,ভাবলেশহীন,ভাবশূন্য,মুখ,মৃত,ভাবলেশহীন মুখ,বিরক্ত
😶	smileys	awkward,blank,expressionless,face,mouth,mouthless,mute,quiet,secret,silence,silent,speechless,face without mouth,without,no mouth	কিছু বলার নেই,গোপনীয়,চুপ করে থাকাই ভাল,ঠোঁট,নীরব,ভাবলেশহীন মুখ,মুখ,মুখ ছাড়াই মুখমণ্ডল,শান্ত
🫥	smileys	depressed,disappear,dotted,face,hidden,hide,introvert,invisible,line,meh,whatever,wtv,dotted line face	অদৃশ্য,অন্তর্মুখী,অপ্রত্যক্ষ,পরোয়া করিনা,রেখা বিন্দুর মুখ,লুকানো,হতাশ
😶‍🌫️	smileys	absentminded,clouds,face,fog,head,face in clouds,in	অমনোযোগী,কুয়াশায় ঢাকা মুখ,মেঘে মুখ,মেঘের মধ্যে মাথা,মেঘের মধ্যে মুখ
😏	smileys	boss,dapper,face,flirt,homie,kidding,leer,shade,slick,sly,smirk,smug,snicker,suave,suspicious,swag,smirking face,smirking,suggestive	কৃত্রিম হাসির মুখ,বিদ্রুপ করা,ব্যঙ্গ করে হাসা,ব্যাঙ্গাত্বক হাসি,মুখ,দুষ্টু হাসি
😒	smileys	...,bored,face,fine,jealous,jel,jelly,pissed,smh,ugh,uhh,unamused,unhappy,weird,whatever,unamused face,annoyed,meh,displeased	অসুখী,ধুশ,বিরক্ত,বিরক্তি,ভাল লাগছে না,মুখ,বিরক্ত মুখ
🙄	smileys	eyeroll,eyes,face,rolling,shade,ugh,whatever,face with rolling eyes,with,eye roll,annoyed,sarcastic	ঘূর্ণায়মান,চোখ,চোখ কপালে,চোখ গোল গোল করা মুখ,চোখ ঘুরানো,মুখ,বিরক্ত
😬	smileys	awk,awkward,dentist,face,grimace,grimacing,grinning,smile,smiling,grimacing face,eek,nervous	কিছু না,দাঁত,দাঁত বার করা মুখ,ভেংচানো,মুখ,অস্বস্তি
😮‍💨	smileys	blow,blowing,exhale,exhaling,exhausted,face,gasp,groan,relief,sigh,smiley,smoke,whisper,whistle,face exhaling	অবসন্ন,অবসাদগ্রস্ত,কাতরানো,ক্লান্ত,ত্রাণ,দুর্দশা,ধূমপান,নিঃশ্বাস,নিশ্বাস ছাড়া মুখ,ফিসফিস,বাঁশি,হাঁফানো
🤥	smileys	face,liar,lie,lying,pinocchio,lying face,dishonest	পিনাকিও,মিথ্যা,মিথ্যুক,মিথ্যুকের নাক লম্বা,মুখ
🫨	smileys	crazy,daze,earthquake,face,omg,panic,shaking,shock,surprise,vibrate,whoa,wow,shaking face	আঘাত,কম্পন,কাঁপা,ভয়ে কাঁপুনি ধরা,ভূমিকম্প,মুখ,কাঁপা মুখ
🙂‍↔️	smileys	head,horizontally,no,shake,shaking,head shaking horizontally	এপাশ ওপাশ মাথা নাড়ানো,না বলতে,নাড়ানো
🙂‍↕️	smileys	head,nod,shaking,vertically,yes,head shaking vertically	উপর নীচে মাথা নাড়ানো,মাথা নেড়ে,হ্যাঁ বলা
😌	smileys	calm,face,peace,relief,relieved,zen,relieved face,peaceful,content	চিন্তা মুক্ত,চিন্তা মুক্ত মুখ,মুখ,স্বস্তি পাওয়া,স্বস্তির আশ্বাস,শান্ত,স্বস্তি
😔	smileys	awful,bored,dejected,died,disappointed,face,losing,lost,pensive,sad,sucks,pensive face,reflective,sorry	বিষণ্ণ,ভাল লাগছে না,মনমরা,মুখ,বিষণ্ণ মুখ,দুঃখ,মন খারাপ
😪	smileys	crying,face,good,night,sad,sleep,sleeping,sleepy,tired,sleepy face,drowsy	ক্লান্ত,ঘুম ঘুম ভাব,ঘুমন্ত অবস্থা,মুখ,ঘুম
🤤	smileys	drooling,face,drooling face,drool,hungry,desire	মুখ,লালা,লোভী,লোভে লক লক,লোভী মুখ,ক্ষুধা
😴	smileys	bed,bedtime,face,good,goodnight,nap,night,sleep,sleeping,tired,whatever,yawn,zzz,sleeping face,snore	ঘুম,ঘুমন্ত অবস্থা,ঘুমন্ত মুখ,ঘুমানো,ঘুমে বিভোর,নাক ডাকা,মুখ,শুভ রাত্রি,ক্লান্ত
🫩	smileys	bags,bored,exhausted,eyes,face,fatigued,late,sleepy,tired,weary,face with bags under eyes,with,under	ক্লান্ত,ঘুমন্ত,ক্লান্তি
😷	smileys	cold,dentist,dermatologist,doctor,dr,face,germs,mask,medical,medicine,sick,face with medical mask,with,ill,covid	অসুস্থ,ওষুধ,ঠান্ডা,ঠান্ডা লাগা,ডাক্তার,মাস্ক করে ঠান্ডা থেকে বাঁচা,মুখ,মুখের মধ্যে মেডিক্যাল মাস্ক,মুখোশ,মাস্ক
🤒	smileys	face,ill,sick,thermometer,face with thermometer,with,fever	অসুস্থ,থার্মোমিটার,মুখ,মুখে থার্মোমিটার,মুখের মধ্যে থার্মোমিটার,রোগগ্রস্ত,জ্বর
🤕	smileys	bandage,face,head-bandage,hurt,injury,ouch,face with head-bandage,with,injured,head	আঘাত,চোট,ব্যান্ডেজ,মাথায় ব্যান্ডেজ করা মুখ,মুখ,আহত,ব্যথা
🤢	smileys	face,gross,nasty,nauseated,sick,vomit,nauseated face,nausea,disgust	গা বমি করা মুখ,নোংরা,বমি,বমি বমি ভাগ,বমি বমি ভাব,মুখ,অসুস্থ
🤮	smileys	barf,ew,face,gross,puke,sick,spew,throw,up,vomit,vomiting,face vomiting	অসুস্থ,বমনরত মুখ,বমি,বমি করা,বমি বমি ভাব,মানুষ,মুখ
🤧	smileys	face,fever,flu,gesundheit,sick,sneeze,sneezing,sneezing face,cold,tissue	অসুস্থ,ভাল থাক,মুখ,হাঁচি,সর্দি
🥵	smileys	dying,face,feverish,heat,hot,panting,red-faced,stroke,sweating,tongue,hot face,burning up	উত্তাপ,ঊর্ধ্বশ্বাস,গরম,গরম মুখমণ্ডল,গরমে ঘাম ঝরা লাল মুখ,ঘাম ঝরছে,ঘাম ঝরা,জিহ্বা বের হওয়া,জ্বর জ্বর,জ্বরাক্রান্ত,জ্বরে কাতর,জ্বরে কুপোকাত,মুখবিকৃতি,মুমূর্ষু,লাল মুখমণ্ডল,লাল-মুখযুক্ত,হিট স্ট্রোক,ঘাম
🥶	smileys	blue,blue-faced,cold,face,freezing,frostbite,icicles,subzero,teeth,cold face,frozen,ice	উফ কী ঠান্ডা,জমিয়ে দেওয়া,ঠান্ডা,ঠান্ডা দাঁত,ঠান্ডায় দাঁত কাঁপা নীল মুখ,তুষার,তুষারকণা,তুষারিকা,নীল,নীল-মুখযুক্ত,বরফ,মুখ,হাড় কাঁপানো ঠান্ডা,শীত
🥴	smileys	dizzy,drunk,eyes,face,intoxicated,mouth,tipsy,uneven,wavy,woozy,woozy face,confused	অর্ধেক খোলা চোখ,গুলিয়ে ফেলা,তরঙ্গায়িত মুখ,দ্বিধাগ্রস্ত,প্রায় মাতাল,ভেঙ্গচি কাটা,মত্ত,মাতাল,মাথা ঝিমঝিম,মাথা-ঘোরা,হতবুদ্ধি,হতবুদ্ধি মুখ,হতভম্ব,ঘোর
😵	smileys	crossed-out,dead,dizzy,eyes,face,feels,knocked,out,sick,tired,face with crossed-out eyes,with,knocked out,shocked	অবাক,অসুস্থ,ক্লান্ত,মুখ,হতবুদ্ধি,হতবুদ্ধি হওয়া মুখ,অজ্ঞান,মাথা ঘোরা
😵‍💫	smileys	confused,dizzy,eyes,face,hypnotized,omg,smiley,spiral,trouble,whoa,woah,woozy,face with spiral eyes,with	অপহাস,এলোমেলো করা,ওহ,চঞ্চল,চোখ পাকানো মুখ,জটিল,ঝামেলা,থামা,বিভ্রান্ত,মাথা ঝিমঝিম,সম্মোহিত,সর্পিল,হতবুদ্ধি
🤯	smileys	blown,explode,exploding,head,mind,mindblown,no,shocked,way,exploding head,mind blown,wow	অবাক,আশ্চর্য,ফেটে পরা মাথা,বিস্ফোরণ,ব্যক্তি,মর্মাহত মুখ,মাথা বিস্ফোরণ,মানুষ,স্মাইলি,বিস্ময়
🤠	smileys	cowboy,cowgirl,face,hat,cowboy hat face,yeehaw	কাউগার্ল,কাউবয়,কাউবয় টুপি পরা মুখ,টুপি,ব্যক্তি,মুখ,কাউবয়
🥳	smileys	bday,birthday,celebrate,celebration,excited,face,happy,hat,hooray,horn,party,partying,partying face,festive,woohoo	অনুষ্ঠান,আনন্দ,উদযাপন,উল্লসিত,জন্মদিন,জন্মদিনের টুপি,টুপি,টুপি পরে বাঁশি বাজিয়ে পার্টি উদযাপন করা মুখ,পার্টি,বাঁশি,হর্ন
🥸	smileys	disguise,eyebrow,face,glasses,incognito,moustache,mustache,nose,person,spy,tache,tash,disguised face,disguised	গুপ্তচর,গোঁফ,গোয়েন্দা,চশমা,ছদ্মবেশ,ছদ্মবেশী,নাক,ভ্রু,মুখ,লোক
😎	smileys	awesome,beach,bright,bro,chilling,cool,face,rad,relaxed,shades,slay,smile,style,sunglasses,swag,win,smiling face with sunglasses,smiling,with,confident	উজ্জ্বল,চশমা,চোখ,ঠান্ডা,মুখ,শীতল,সানগ্লাস,সানগ্লাস পরা জয়ের হাসি,সানগ্লাস পরা হাসি মুখ,সানগ্লাস পরিহিত হাসি মুখ,সূর্য,হাসি,কুল
🤓	smileys	brainy,clever,expert,face,geek,gifted,glasses,intelligent,nerd,smart,nerd face	কদাকার,গুরু,চটপটে,চশমা,চালাক,দক্ষ,পটু,পড়ুয়া মুখ,পারদর্শী,বুদ্ধিমান,বোকা,মুখ,সবজান্তা,পন্ডিত
🧐	smileys	classy,face,fancy,monocle,rich,stuffy,wealthy,face with monocle,with,inspect,curious	অভিজাত,একচোখে চশমাওয়ালা মুখ,চশমা,দমবন্ধ করা মুখ,ধনী,ব্যক্তি,স্মাইলি,পরীক্ষা,কৌতূহল
😕	smileys	befuddled,confused,confusing,dunno,face,frown,hm,meh,not,sad,sorry,sure,confused face,puzzled,unsure	এবার কি হবে?,জানিনা,দুঃখিত,বিভ্রান্ত,মুখ,বিভ্রান্ত মুখ
🫤	smileys	confused,confusion,diagonal,disappointed,doubt,doubtful,face,frustrated,frustration,meh,mouth,skeptical,unsure,whatever,wtv,face with diagonal mouth,with	অনিশ্চিত,উদাস,তির্যক আকৃতিতে মুখ,বিভ্রান্ত,সংশয়,সংশয়যুক্ত,হতাশ
😟	smileys	anxious,butterflies,face,nerves,nervous,sad,stress,stressed,surprised,worried,worry,worried face,concerned	উদ্বিগ্ন,কি যে হবে,চিন্তিত মুখ,মুখ,চিন্তিত
🙁	smileys	face,frown,frowning,sad,slightly,slightly frowning face,disappointed	দুঃখ,ভ্রূ কুচঁকানো,মুখ,সামান্য রাগান্বিত মুখ,মন খারাপ
☹️	smileys	face,frown,frowning,sad,frowning face,unhappy	কষ্ট,দুঃখ,ভ্রূ কুচঁকানো,মুখ,রাগান্বিত মুখ
😮	smileys	believe,face,forgot,mouth,omg,open,shocked,surprised,sympathy,unbelievable,unreal,whoa,wow,you,face with open mouth,with,open mouth,gasp	অবাক,খোলা,ঠোঁট,মুখ,সহানুভূতি,হাঁ করা মুখ,বিস্ময়
😯	smileys	epic,face,hushed,omg,stunned,surprised,whoa,woah,hushed face,quiet	অবাক,চুপ করার ইঙ্গিত করা,নিস্তব্ধ মুখ,বলো কি,বিস্মিত হওয়া,মুখ,সে কি রে,হতভম্ব হওয়া
😲	smileys	astonished,cost,face,no,omg,shocked,totally,way,astonished face,amazed,gasp	অবাক,অবাক হয়ে যাওয়া মুখ,আশ্চর্য হওয়া,ব্যক্তি,মর্মাহত,মুখ,সম্পূর্ণ,হতবাক
😳	smileys	amazed,awkward,crazy,dazed,dead,disbelief,embarrassed,face,flushed,geez,heat,hot,impressed,jeez,what,wow,flushed face,blush,shocked	অবাক,উত্তেজিত মুখ,চমকিত,মুখ,রক্তিম,রক্তিম মুখ,লজ্জা,অপ্রস্তুত
🫪	smileys	anxiety,bloated,panic,shocked,surprised,vulnerable,distorted face,distorted,face	অবাক,আশ্চর্য,চমক,বিস্ময়,হতবাক
🥺	smileys	begging,big,eyes,face,mercy,not,pleading,please,pretty,puppy,sad,why,pleading face,puppy eyes,cute	অনুগ্রহ,অনুনয় মুখ,অনুনয়কারী মুখ,অনুরোধ,অসুখী,করুণা,দু,খদায়ক,মায়া
🥹	smileys	admiration,aww,back,cry,embarrassed,face,feelings,grateful,gratitude,holding,joy,please,proud,resist,sad,tears,face holding back tears	অপ্রস্তুত,আনন্দে অশ্রু,কান্না,কান্না চেপে রাখা মুখ,কৃতজ্ঞ,ক্ষিপ্ত,গর্বিত,চোখে জল মুখে হাসি,বিষণ্ণ,রোধ করা
😦	smileys	caught,face,frown,frowning,guard,mouth,open,scared,scary,surprise,what,wow,frowning face with open mouth,with,open mouth,worried	অবাক,ওরে বাবা রে,খোলা,খোলা মুখের সাথে ভ্রুকুটি মুখমণ্ডল,ঠোঁট,দেখো কান্ড,ব্যক্তি,ভ্রূ কুচঁকানো,মুখ,সে কি রে,চিন্তিত
😧	smileys	anguished,face,forgot,scared,scary,stressed,surprise,unhappy,what,wow,anguished face	উদ্বেগপূর্ণ মুখ,বেদনার্ত,ভয়,মুখ
😨	smileys	afraid,anxious,blame,face,fear,fearful,scared,worried,fearful face,shocked	ভয়,ভয়ার্ত মুখ,ভীত,ভীতিজনক,মুখ,ভয়,আতঙ্ক
😰	smileys	anxious,blue,cold,eek,face,mouth,nervous,open,rushed,scared,sweat,yikes,anxious face with sweat,with,worried	খোলা মুখ এবং ঠাণ্ডা ঘামের সাথে মুখমণ্ডল,ঘর্মাক্ত অবস্থা,ঘাম,ঘাম ঝরা উদ্ধিগ্ন মুখ,ঠান্ডা,নীল,ব্যক্তি,ভয়ে ঘামছে,মুখ,মুখে উদ্ধিগ্ন,উদ্বিগ্ন
😥	smileys	anxious,call,close,complicated,disappointed,face,not,relieved,sad,sweat,time,whew,sad but relieved face,but	আশ্চর্য হওয়া,ঘাম,দুঃখ,নিরাশ,মুখ,স্বস্তি পাওয়া,হতাশ,হতাশ তবে স্বস্তি পাওয়া মুখ
😢	smileys	awful,cry,crying,face,feels,miss,sad,tear,triste,unhappy,crying face,upset	কান্না,কান্নাকাটি করা,ক্রন্দনরত মুখ,দুঃখিত,মুখ,দুঃখ
😭	smileys	bawling,cry,crying,face,loudly,sad,sob,tear,tears,unhappy,loudly crying face	অশ্রুসজল মুখ,কান্না,কান্নাকাটি করা,জোরে ক্রন্দনরত মুখ,দুঃখিত,মুখ,দুঃখ,অঝোরে
😱	smileys	epic,face,fear,fearful,munch,scared,scream,screamer,screaming,shocked,surprised,woah,face screaming in fear,in,horror,omg	অবাক,খোলা মুখ,চিৎকার করা,ব্যক্তি,ভয়,ভয়ে চিৎকার করা মুখ,ভীত,ভীতিজনক,মানুষ,মুখ,স্মাইলি,চিৎকার,ভয়,আতঙ্ক
😖	smileys	annoyed,confounded,confused,cringe,distraught,face,feels,frustrated,mad,sad,confounded face,scrunched	বিস্মিত মুখ,মুখ,হকচকিয়ে যাওয়া,হতাশ
😣	smileys	concentrate,concentration,face,focus,headache,persevere,persevering,persevering face,struggling,frustrated	জিদ করা,জেদি মুখ,মাথা ব্যথা,মুখ,সংগ্রাম,কষ্ট
😞	smileys	awful,blame,dejected,disappointed,face,fail,losing,sad,unhappy,disappointed face,upset	মুখ,হতাশ,হতাশ মুখ,দুঃখ
😓	smileys	close,cold,downcast,face,feels,headache,nervous,sad,scared,sweat,yikes,downcast face with sweat,with,tired,stressed	ঘর্মাক্ত অবস্থা,ঠান্ডা,মুখ,মুখের মধ্যে ঠাণ্ডা ঘাম লাগা,ক্লান্ত,ঘাম
😩	smileys	crying,face,fail,feels,hungry,mad,nooo,sad,sleepy,tired,unhappy,weary,weary face,exhausted,fed up	অসুখী,ক্লান্ত,ক্লান্ত হওয়া,ক্ষুধার্ত,খিদে পেয়েছে,নাহ,পরিশ্রান্ত,ভয় পেয়েছে,মুখ,পরিশ্রান্ত মুখ,হয়রান
😫	smileys	cost,face,feels,nap,sad,sneeze,tired,tired face,exhausted,fed up,upset	ক্লান্ত,মুখ,ক্লান্ত মুখ
🥱	smileys	bedtime,bored,face,goodnight,nap,night,sleep,sleepy,tired,whatever,yawn,yawning,zzz,yawning face	উদাস,ক্লান্ত,ক্লান্ত লাগছে,ঘুম পাচ্ছে,মুখ,রাত হয়েছে,শুভরাত্রি,হাই তোলা,হাই তোলা মুখ,হাই,ঘুম
😤	smileys	anger,angry,face,feels,fume,fuming,furious,fury,mad,nose,steam,triumph,unhappy,won,face with steam from nose,with,from,frustrated,proud,huffing	অখুশি,অসহ্যকর,জয়জয়কার,নাক থেকে স্টিম বেরোচ্ছে এমন মুখ,বিজয়ী,বিরক্ত,মুখ,রাগ,গর্ব
